cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;obitos_infantis;nascidos_vivos;TMI;ANO
171610;1716109;Paraíso do Tocantins;TO;52360;14;795;17.61006289308176;2021
171620;1716208;Paranã;TO;10542;3;162;18.51851851851852;2021
171630;1716307;Pau D'Arco;TO;4043;1;66;15.151515151515152;2021
171650;1716505;Pedro Afonso;TO;14055;3;220;13.636363636363635;2021
171660;1716604;Peixe;TO;9317;0;130;0.0;2021
171665;1716653;Pequizeiro;TO;4921;1;68;14.705882352941176;2021
171670;1716703;Colméia;TO;8941;1;124;8.064516129032258;2021
171700;1717008;Pindorama do Tocantins;TO;4478;0;44;0.0;2021
171720;1717206;Piraquê;TO;2282;0;37;0.0;2021
171750;1717503;Pium;TO;7128;1;82;12.195121951219512;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;0;34;0.0;2021
171790;1717909;Ponte Alta do Tocantins;TO;7586;1;119;8.403361344537815;2021
171800;1718006;Porto Alegre do Tocantins;TO;2866;0;48;0.0;2021
171820;1718204;Porto Nacional;TO;64418;16;1115;14.349775784753364;2021
171830;1718303;Praia Norte;TO;9044;0;99;0.0;2021
171840;1718402;Presidente Kennedy;TO;3047;0;44;0.0;2021
171845;1718451;Pugmil;TO;2193;0;31;0.0;2021
171850;1718501;Recursolândia;TO;3421;0;60;0.0;2021
171855;1718550;Riachinho;TO;3960;1;66;15.151515151515152;2021
171865;1718659;Rio da Conceição;TO;1768;3;31;96.77419354838709;2021
171870;1718709;Rio dos Bois;TO;2738;1;40;25.0;2021
171875;1718758;Rio Sono;TO;4841;1;67;14.925373134328359;2021
171880;1718808;Sampaio;TO;4215;1;88;11.363636363636363;2021
171884;1718840;Sandolândia;TO;3723;0;44;0.0;2021
171886;1718865;Santa Fé do Araguaia;TO;7216;0;114;0.0;2021
171888;1718881;Santa Maria do Tocantins;TO;2680;0;39;0.0;2021
171889;1718899;Santa Rita do Tocantins;TO;2219;0;30;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;4653;0;89;0.0;2021
171900;1719004;Santa Tereza do Tocantins;TO;2781;2;53;37.73584905660377;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2406;1;28;35.714285714285715;2021
172010;1720101;São Bento do Tocantins;TO;5654;2;79;25.31645569620253;2021
172015;1720150;São Félix do Tocantins;TO;1783;0;21;0.0;2021
172020;1720200;São Miguel do Tocantins;TO;13241;1;155;6.451612903225806;2021
172025;1720259;São Salvador do Tocantins;TO;2385;0;26;0.0;2021
172030;1720309;São Sebastião do Tocantins;TO;4100;1;56;17.857142857142858;2021
172049;1720499;São Valério;TO;4422;0;40;0.0;2021
172065;1720655;Silvanópolis;TO;5108;0;63;0.0;2021
172080;1720804;Sítio Novo do Tocantins;TO;10830;0;135;0.0;2021
172085;1720853;Sucupira;TO;1577;0;19;0.0;2021
172090;1720903;Taguatinga;TO;14011;0;173;0.0;2021
172093;1720937;Taipas do Tocantins;TO;2021;0;33;0.0;2021
172097;1720978;Talismã;TO;2456;1;33;30.303030303030305;2021
172100;1721000;Palmas;TO;302692;67;4941;13.560008095527222;2021
172110;1721109;Tocantínia;TO;7459;2;189;10.582010582010582;2021
172120;1721208;Tocantinópolis;TO;22615;4;445;8.98876404494382;2021
172125;1721257;Tupirama;TO;1909;0;34;0.0;2021
172130;1721307;Tupiratins;TO;1874;0;33;0.0;2021
172208;1722081;Wanderlândia;TO;10522;0;145;0.0;2021
172210;1722107;Xambioá;TO;10517;3;174;17.241379310344826;2021
170025;1700251;Abreulândia;TO;2576;1;34;29.41176470588235;2022
170030;1700301;Aguiarnópolis;TO;4497;0;77;0.0;2022
170035;1700350;Aliança do Tocantins;TO;5147;2;57;35.08771929824561;2022
170040;1700400;Almas;TO;6499;0;98;0.0;2022
170070;1700707;Alvorada;TO;8802;2;120;16.666666666666668;2022
170100;1701002;Ananás;TO;10325;0;135;0.0;2022
170105;1701051;Angico;TO;2876;1;41;24.390243902439025;2022
170110;1701101;Aparecida do Rio Negro;TO;4856;0;78;0.0;2022
170130;1701309;Aragominas;TO;5290;1;69;14.492753623188406;2022
170190;1701903;Araguacema;TO;5927;2;71;28.169014084507044;2022
170200;1702000;Araguaçu;TO;8133;0;104;0.0;2022
170210;1702109;Araguaína;TO;171301;28;2961;9.456264775413711;2022
170215;1702158;Araguanã;TO;4310;3;45;66.66666666666667;2022
170220;1702208;Araguatins;TO;31918;8;473;16.913319238900634;2022
170230;1702307;Arapoema;TO;5550;0;82;0.0;2022
170240;1702406;Arraias;TO;10287;1;105;9.523809523809526;2022
170255;1702554;Augustinópolis;TO;17484;2;293;6.825938566552901;2022
170270;1702703;Aurora do Tocantins;TO;3342;0;24;0.0;2022
170290;1702901;Axixá do Tocantins;TO;10262;1;164;6.097560975609756;2022
170300;1703008;Babaçulândia;TO;7880;0;93;0.0;2022
170305;1703057;Bandeirantes do Tocantins;TO;3407;2;50;40.0;2022
170307;1703073;Barra do Ouro;TO;4476;1;68;14.705882352941176;2022
170310;1703107;Barrolândia;TO;4846;1;61;16.393442622950822;2022
170320;1703206;Bernardo Sayão;TO;4229;1;45;22.22222222222222;2022
170330;1703305;Bom Jesus do Tocantins;TO;4038;1;85;11.76470588235294;2022
