cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
171330;1713304;Miranorte;TO;12701;140;3;2.142857142857143;2.3620187386819937;2021
171360;1713601;Monte do Carmo;TO;5694;43;1;2.3255813953488373;1.7562346329469616;2021
171370;1713700;Monte Santo do Tocantins;TO;2396;25;2;8.0;8.347245409015025;2021
171380;1713809;Palmeiras do Tocantins;TO;4872;35;4;11.428571428571429;8.210180623973727;2021
171395;1713957;Muricilândia;TO;3367;30;0;0.0;0.0;2021
171420;1714203;Natividade;TO;8754;95;4;4.2105263157894735;4.569339730408956;2021
171430;1714302;Nazaré;TO;4521;42;0;0.0;0.0;2021
171488;1714880;Nova Olinda;TO;10367;100;0;0.0;0.0;2021
171500;1715002;Nova Rosalândia;TO;3362;34;0;0.0;0.0;2021
171510;1715101;Novo Acordo;TO;3969;30;1;3.3333333333333335;2.5195263290501386;2021
171515;1715150;Novo Alegre;TO;1846;21;2;9.523809523809524;10.834236186348862;2021
171525;1715259;Novo Jardim;TO;2230;14;1;7.142857142857142;4.484304932735426;2021
171550;1715507;Oliveira de Fátima;TO;1164;11;0;0.0;0.0;2021
171570;1715705;Palmeirante;TO;4798;36;0;0.0;0.0;2021
171575;1715754;Palmeirópolis;TO;6975;81;1;1.2345679012345678;1.4336917562724014;2021
171610;1716109;Paraíso do Tocantins;TO;52360;432;1;0.23148148148148145;0.19098548510313215;2021
171620;1716208;Paranã;TO;10542;66;0;0.0;0.0;2021
171630;1716307;Pau D'Arco;TO;4043;34;2;5.88235294117647;4.946821667078902;2021
171650;1716505;Pedro Afonso;TO;14055;101;13;12.871287128712872;9.249377445748845;2021
171660;1716604;Peixe;TO;9317;93;0;0.0;0.0;2021
171665;1716653;Pequizeiro;TO;4921;30;2;6.666666666666667;4.06421459053038;2021
171670;1716703;Colméia;TO;8941;80;0;0.0;0.0;2021
171700;1717008;Pindorama do Tocantins;TO;4478;33;4;12.121212121212121;8.932559178204555;2021
171720;1717206;Piraquê;TO;2282;11;0;0.0;0.0;2021
171750;1717503;Pium;TO;7128;46;2;4.3478260869565215;2.8058361391694726;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;38;0;0.0;0.0;2021
171790;1717909;Ponte Alta do Tocantins;TO;7586;44;0;0.0;0.0;2021
171800;1718006;Porto Alegre do Tocantins;TO;2866;19;2;10.526315789473683;6.978367062107466;2021
171820;1718204;Porto Nacional;TO;64418;537;6;1.1173184357541899;0.9314166847775466;2021
171830;1718303;Praia Norte;TO;9044;60;1;1.6666666666666667;1.1057054400707653;2021
171840;1718402;Presidente Kennedy;TO;3047;35;2;5.714285714285714;6.563833278634722;2021
171845;1718451;Pugmil;TO;2193;18;0;0.0;0.0;2021
171850;1718501;Recursolândia;TO;3421;24;0;0.0;0.0;2021
171855;1718550;Riachinho;TO;3960;33;0;0.0;0.0;2021
171865;1718659;Rio da Conceição;TO;1768;21;0;0.0;0.0;2021
171870;1718709;Rio dos Bois;TO;2738;31;0;0.0;0.0;2021
171875;1718758;Rio Sono;TO;4841;29;0;0.0;0.0;2021
171880;1718808;Sampaio;TO;4215;34;2;5.88235294117647;4.744958481613286;2021
171884;1718840;Sandolândia;TO;3723;26;0;0.0;0.0;2021
171886;1718865;Santa Fé do Araguaia;TO;7216;47;2;4.25531914893617;2.7716186252771617;2021
171888;1718881;Santa Maria do Tocantins;TO;2680;18;0;0.0;0.0;2021
171889;1718899;Santa Rita do Tocantins;TO;2219;12;0;0.0;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;4653;34;2;5.88235294117647;4.298302170642596;2021
171900;1719004;Santa Tereza do Tocantins;TO;2781;29;2;6.896551724137931;7.19165767709457;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2406;16;2;12.5;8.31255195344971;2021
172010;1720101;São Bento do Tocantins;TO;5654;36;3;8.333333333333332;5.3059780686239835;2021
172015;1720150;São Félix do Tocantins;TO;1783;11;0;0.0;0.0;2021
172020;1720200;São Miguel do Tocantins;TO;13241;69;1;1.4492753623188406;0.7552299675251114;2021
172025;1720259;São Salvador do Tocantins;TO;2385;17;0;0.0;0.0;2021
172030;1720309;São Sebastião do Tocantins;TO;4100;40;3;7.5;7.317073170731708;2021
172049;1720499;São Valério;TO;4422;42;0;0.0;0.0;2021
172065;1720655;Silvanópolis;TO;5108;50;0;0.0;0.0;2021
172080;1720804;Sítio Novo do Tocantins;TO;10830;58;0;0.0;0.0;2021
172085;1720853;Sucupira;TO;1577;12;0;0.0;0.0;2021
172090;1720903;Taguatinga;TO;14011;131;1;0.7633587786259541;0.7137249304118193;2021
172093;1720937;Taipas do Tocantins;TO;2021;8;1;12.5;4.948045522018803;2021
172097;1720978;Talismã;TO;2456;13;0;0.0;0.0;2021
