cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
171550;1715507;Oliveira de Fátima;TO;1164;16;4;25.0;2021
171570;1715705;Palmeirante;TO;4798;50;28;56.00000000000001;2021
171575;1715754;Palmeirópolis;TO;6975;85;53;62.35294117647059;2021
171610;1716109;Paraíso do Tocantins;TO;52360;795;434;54.59119496855346;2021
171620;1716208;Paranã;TO;10542;162;81;50.0;2021
171630;1716307;Pau D'Arco;TO;4043;66;33;50.0;2021
171650;1716505;Pedro Afonso;TO;14055;220;155;70.45454545454545;2021
171660;1716604;Peixe;TO;9317;130;69;53.07692307692308;2021
171665;1716653;Pequizeiro;TO;4921;68;52;76.47058823529412;2021
171670;1716703;Colméia;TO;8941;124;97;78.2258064516129;2021
171700;1717008;Pindorama do Tocantins;TO;4478;44;26;59.09090909090909;2021
171720;1717206;Piraquê;TO;2282;37;17;45.94594594594595;2021
171750;1717503;Pium;TO;7128;82;38;46.34146341463415;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;34;14;41.17647058823529;2021
171790;1717909;Ponte Alta do Tocantins;TO;7586;119;48;40.33613445378151;2021
171800;1718006;Porto Alegre do Tocantins;TO;2866;48;25;52.083333333333336;2021
171820;1718204;Porto Nacional;TO;64418;1115;647;58.02690582959641;2021
171830;1718303;Praia Norte;TO;9044;99;44;44.44444444444444;2021
171840;1718402;Presidente Kennedy;TO;3047;44;27;61.36363636363637;2021
171845;1718451;Pugmil;TO;2193;31;20;64.51612903225806;2021
171850;1718501;Recursolândia;TO;3421;60;31;51.66666666666667;2021
171855;1718550;Riachinho;TO;3960;66;40;60.60606060606061;2021
171865;1718659;Rio da Conceição;TO;1768;31;12;38.70967741935484;2021
171870;1718709;Rio dos Bois;TO;2738;40;21;52.5;2021
171875;1718758;Rio Sono;TO;4841;67;34;50.74626865671642;2021
171880;1718808;Sampaio;TO;4215;88;35;39.77272727272727;2021
171884;1718840;Sandolândia;TO;3723;44;34;77.27272727272727;2021
171886;1718865;Santa Fé do Araguaia;TO;7216;114;59;51.75438596491229;2021
171888;1718881;Santa Maria do Tocantins;TO;2680;39;27;69.23076923076923;2021
171889;1718899;Santa Rita do Tocantins;TO;2219;30;17;56.666666666666664;2021
171890;1718907;Santa Rosa do Tocantins;TO;4653;89;43;48.31460674157304;2021
171900;1719004;Santa Tereza do Tocantins;TO;2781;53;26;49.056603773584904;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2406;28;18;64.28571428571429;2021
172010;1720101;São Bento do Tocantins;TO;5654;79;35;44.303797468354425;2021
172015;1720150;São Félix do Tocantins;TO;1783;21;10;47.61904761904761;2021
172020;1720200;São Miguel do Tocantins;TO;13241;155;70;45.16129032258064;2021
172025;1720259;São Salvador do Tocantins;TO;2385;26;15;57.692307692307686;2021
172030;1720309;São Sebastião do Tocantins;TO;4100;56;22;39.285714285714285;2021
172049;1720499;São Valério;TO;4422;40;23;57.49999999999999;2021
172065;1720655;Silvanópolis;TO;5108;63;32;50.79365079365079;2021
172080;1720804;Sítio Novo do Tocantins;TO;10830;135;64;47.40740740740741;2021
172085;1720853;Sucupira;TO;1577;19;13;68.42105263157895;2021
172090;1720903;Taguatinga;TO;14011;173;78;45.08670520231214;2021
172093;1720937;Taipas do Tocantins;TO;2021;33;16;48.484848484848484;2021
172097;1720978;Talismã;TO;2456;33;22;66.66666666666666;2021
172100;1721000;Palmas;TO;302692;4941;2694;54.52337583485124;2021
172110;1721109;Tocantínia;TO;7459;189;83;43.91534391534391;2021
172120;1721208;Tocantinópolis;TO;22615;445;194;43.59550561797752;2021
172125;1721257;Tupirama;TO;1909;34;22;64.70588235294117;2021
172130;1721307;Tupiratins;TO;1874;33;20;60.60606060606061;2021
172208;1722081;Wanderlândia;TO;10522;145;80;55.172413793103445;2021
172210;1722107;Xambioá;TO;10517;174;112;64.36781609195403;2021
170025;1700251;Abreulândia;TO;2576;34;10;29.411764705882355;2022
170030;1700301;Aguiarnópolis;TO;4497;77;41;53.246753246753244;2022
170035;1700350;Aliança do Tocantins;TO;5147;57;42;73.68421052631578;2022
170040;1700400;Almas;TO;6499;98;42;42.857142857142854;2022
170070;1700707;Alvorada;TO;8802;120;89;74.16666666666667;2022
170100;1701002;Ananás;TO;10325;135;73;54.074074074074076;2022
170105;1701051;Angico;TO;2876;41;22;53.65853658536586;2022
170110;1701101;Aparecida do Rio Negro;TO;4856;78;39;50.0;2022
170130;1701309;Aragominas;TO;5290;69;42;60.86956521739131;2022
170190;1701903;Araguacema;TO;5927;71;35;49.29577464788733;2022
170200;1702000;Araguaçu;TO;8133;104;71;68.26923076923077;2022
170210;1702109;Araguaína;TO;171301;2961;1928;65.11313745356298;2022
170215;1702158;Araguanã;TO;4310;45;22;48.888888888888886;2022
170220;1702208;Araguatins;TO;31918;473;193;40.803382663847785;2022
170230;1702307;Arapoema;TO;5550;82;40;48.78048780487805;2022
170240;1702406;Arraias;TO;10287;105;57;54.285714285714285;2022
170255;1702554;Augustinópolis;TO;17484;293;149;50.85324232081911;2022
170270;1702703;Aurora do Tocantins;TO;3342;24;12;50.0;2022
170290;1702901;Axixá do Tocantins;TO;10262;164;75;45.73170731707317;2022
170300;1703008;Babaçulândia;TO;7880;93;54;58.06451612903226;2022
170305;1703057;Bandeirantes do Tocantins;TO;3407;50;33;66.0;2022
170307;1703073;Barra do Ouro;TO;4476;68;27;39.705882352941174;2022
170310;1703107;Barrolândia;TO;4846;61;27;44.26229508196721;2022
170320;1703206;Bernardo Sayão;TO;4229;45;23;51.11111111111111;2022
170330;1703305;Bom Jesus do Tocantins;TO;4038;85;61;71.76470588235294;2022
170360;1703602;Brasilândia do Tocantins;TO;1974;28;15;53.57142857142857;2022
170370;1703701;Brejinho de Nazaré;TO;4725;53;24;45.28301886792453;2022
170380;1703800;Buriti do Tocantins;TO;10307;120;50;41.66666666666667;2022
170382;1703826;Cachoeirinha;TO;1961;26;20;76.92307692307693;2022
170384;1703842;Campos Lindos;TO;8653;160;86;53.75;2022
170386;1703867;Cariri do Tocantins;TO;4007;59;39;66.10169491525424;2022
170388;1703883;Carmolândia;TO;2201;27;14;51.85185185185185;2022
170389;1703891;Carrasco Bonito;TO;3318;54;24;44.44444444444444;2022
170390;1703909;Caseara;TO;4847;62;28;45.16129032258064;2022
170410;1704105;Centenário;TO;2131;15;8;53.333333333333336;2022
170460;1704600;Chapada de Areia;TO;1501;26;14;53.84615384615385;2022
170510;1705102;Chapada da Natividade;TO;3117;43;24;55.81395348837209;2022
170550;1705508;Colinas do Tocantins;TO;34233;511;358;70.0587084148728;2022
170555;1705557;Combinado;TO;4756;57;40;70.17543859649122;2022
170560;1705607;Conceição do Tocantins;TO;3887;52;25;48.07692307692308;2022
170600;1706001;Couto Magalhães;TO;5331;65;38;58.46153846153847;2022
170610;1706100;Cristalândia;TO;6371;73;32;43.83561643835616;2022
170625;1706258;Crixás do Tocantins;TO;1470;16;10;62.5;2022
170650;1706506;Darcinópolis;TO;5827;102;52;50.98039215686274;2022
170700;1707009;Dianópolis;TO;17739;291;155;53.264604810996566;2022
170710;1707108;Divinópolis do Tocantins;TO;7024;87;36;41.37931034482759;2022
170720;1707207;Dois Irmãos do Tocantins;TO;6327;82;43;52.4390243902439;2022
170730;1707306;Dueré;TO;4248;58;36;62.06896551724138;2022
170740;1707405;Esperantina;TO;7530;118;38;32.20338983050847;2022
170755;1707553;Fátima;TO;3467;53;22;41.509433962264154;2022
170765;1707652;Figueirópolis;TO;5211;58;37;63.793103448275865;2022
170770;1707702;Filadélfia;TO;7712;102;61;59.80392156862745;2022
170820;1708205;Formoso do Araguaia;TO;18881;278;174;62.589928057553955;2022
170825;1708254;Tabocão;TO;3455;55;45;81.81818181818183;2022
170830;1708304;Goianorte;TO;4738;49;30;61.224489795918366;2022
170900;1709005;Goiatins;TO;12433;235;100;42.5531914893617;2022
170930;1709302;Guaraí;TO;24775;330;236;71.51515151515152;2022
170950;1709500;Gurupi;TO;85125;1244;907;72.90996784565917;2022
170980;1709807;Ipueiras;TO;1590;9;8;88.88888888888889;2022
171050;1710508;Itacajá;TO;6819;119;45;37.81512605042017;2022
171070;1710706;Itaguatins;TO;5172;64;29;45.3125;2022
171090;1710904;Itapiratins;TO;3577;49;36;73.46938775510205;2022
171110;1711100;Itaporã do Tocantins;TO;2404;46;35;76.08695652173914;2022
171150;1711506;Jaú do Tocantins;TO;3334;34;20;58.82352941176471;2022
171180;1711803;Juarina;TO;2243;35;24;68.57142857142857;2022
171190;1711902;Lagoa da Confusão;TO;15288;260;130;50.0;2022
171195;1711951;Lagoa do Tocantins;TO;3516;75;37;49.333333333333336;2022
171200;1712009;Lajeado;TO;3357;43;24;55.81395348837209;2022
171215;1712157;Lavandeira;TO;1626;23;14;60.86956521739131;2022
171240;1712405;Lizarda;TO;2999;44;21;47.72727272727273;2022
171245;1712454;Luzinópolis;TO;2717;36;21;58.333333333333336;2022
171250;1712504;Marianópolis do Tocantins;TO;4615;77;40;51.94805194805194;2022
171270;1712702;Mateiros;TO;2748;49;24;48.97959183673469;2022
171280;1712801;Maurilândia do Tocantins;TO;3095;35;17;48.57142857142857;2022
171320;1713205;Miracema do Tocantins;TO;18566;270;160;59.25925925925925;2022
171330;1713304;Miranorte;TO;12701;190;121;63.68421052631579;2022
171360;1713601;Monte do Carmo;TO;5694;69;31;44.927536231884055;2022
171370;1713700;Monte Santo do Tocantins;TO;2396;20;11;55.00000000000001;2022
171380;1713809;Palmeiras do Tocantins;TO;4872;71;35;49.29577464788733;2022
171395;1713957;Muricilândia;TO;3367;35;19;54.285714285714285;2022
171420;1714203;Natividade;TO;8754;110;47;42.72727272727273;2022
171430;1714302;Nazaré;TO;4521;61;41;67.21311475409836;2022
171488;1714880;Nova Olinda;TO;10367;165;96;58.18181818181818;2022
171500;1715002;Nova Rosalândia;TO;3362;35;12;34.285714285714285;2022
171510;1715101;Novo Acordo;TO;3969;83;37;44.57831325301205;2022
171515;1715150;Novo Alegre;TO;1846;11;7;63.63636363636363;2022
171525;1715259;Novo Jardim;TO;2230;32;18;56.25;2022
171550;1715507;Oliveira de Fátima;TO;1164;21;15;71.42857142857143;2022
171570;1715705;Palmeirante;TO;4798;62;36;58.06451612903226;2022
