cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
170460;1704600;Chapada de Areia;TO;1501;26;15;57.692307692307686;2022
170510;1705102;Chapada da Natividade;TO;3117;43;34;79.06976744186046;2022
170550;1705508;Colinas do Tocantins;TO;34233;511;382;74.75538160469667;2022
170555;1705557;Combinado;TO;4756;57;46;80.7017543859649;2022
170560;1705607;Conceição do Tocantins;TO;3887;52;43;82.6923076923077;2022
170600;1706001;Couto Magalhães;TO;5331;65;46;70.76923076923077;2022
170610;1706100;Cristalândia;TO;6371;73;60;82.1917808219178;2022
170625;1706258;Crixás do Tocantins;TO;1470;16;13;81.25;2022
170650;1706506;Darcinópolis;TO;5827;102;68;66.66666666666666;2022
170700;1707009;Dianópolis;TO;17739;291;202;69.41580756013745;2022
170710;1707108;Divinópolis do Tocantins;TO;7024;87;75;86.20689655172413;2022
170720;1707207;Dois Irmãos do Tocantins;TO;6327;82;64;78.04878048780488;2022
170730;1707306;Dueré;TO;4248;58;46;79.3103448275862;2022
170740;1707405;Esperantina;TO;7530;118;81;68.64406779661016;2022
170755;1707553;Fátima;TO;3467;53;36;67.9245283018868;2022
170765;1707652;Figueirópolis;TO;5211;58;23;39.6551724137931;2022
170770;1707702;Filadélfia;TO;7712;102;61;59.80392156862745;2022
170820;1708205;Formoso do Araguaia;TO;18881;278;182;65.46762589928058;2022
170825;1708254;Tabocão;TO;3455;55;41;74.54545454545455;2022
170830;1708304;Goianorte;TO;4738;49;33;67.3469387755102;2022
170900;1709005;Goiatins;TO;12433;235;140;59.57446808510638;2022
170930;1709302;Guaraí;TO;24775;330;232;70.3030303030303;2022
170950;1709500;Gurupi;TO;85125;1244;945;75.96463022508038;2022
170980;1709807;Ipueiras;TO;1590;9;5;55.55555555555556;2022
171050;1710508;Itacajá;TO;6819;119;74;62.18487394957983;2022
171070;1710706;Itaguatins;TO;5172;64;38;59.375;2022
171090;1710904;Itapiratins;TO;3577;49;41;83.6734693877551;2022
171110;1711100;Itaporã do Tocantins;TO;2404;46;38;82.6086956521739;2022
171150;1711506;Jaú do Tocantins;TO;3334;34;27;79.41176470588235;2022
171180;1711803;Juarina;TO;2243;35;32;91.42857142857143;2022
171190;1711902;Lagoa da Confusão;TO;15288;260;186;71.53846153846153;2022
171195;1711951;Lagoa do Tocantins;TO;3516;75;53;70.66666666666667;2022
171200;1712009;Lajeado;TO;3357;43;30;69.76744186046511;2022
171215;1712157;Lavandeira;TO;1626;23;13;56.52173913043478;2022
171240;1712405;Lizarda;TO;2999;44;27;61.36363636363637;2022
171245;1712454;Luzinópolis;TO;2717;36;27;75.0;2022
171250;1712504;Marianópolis do Tocantins;TO;4615;77;63;81.81818181818183;2022
171270;1712702;Mateiros;TO;2748;49;35;71.42857142857143;2022
171280;1712801;Maurilândia do Tocantins;TO;3095;35;27;77.14285714285715;2022
171320;1713205;Miracema do Tocantins;TO;18566;270;178;65.92592592592592;2022
171330;1713304;Miranorte;TO;12701;190;143;75.26315789473685;2022
171360;1713601;Monte do Carmo;TO;5694;69;49;71.01449275362319;2022
171370;1713700;Monte Santo do Tocantins;TO;2396;20;15;75.0;2022
171380;1713809;Palmeiras do Tocantins;TO;4872;71;58;81.69014084507043;2022
171395;1713957;Muricilândia;TO;3367;35;30;85.71428571428571;2022
171420;1714203;Natividade;TO;8754;110;80;72.72727272727273;2022
171430;1714302;Nazaré;TO;4521;61;55;90.1639344262295;2022
171488;1714880;Nova Olinda;TO;10367;165;134;81.21212121212122;2022
171500;1715002;Nova Rosalândia;TO;3362;35;29;82.85714285714286;2022
171510;1715101;Novo Acordo;TO;3969;83;43;51.80722891566265;2022
171515;1715150;Novo Alegre;TO;1846;11;8;72.72727272727273;2022
171525;1715259;Novo Jardim;TO;2230;32;16;50.0;2022
171550;1715507;Oliveira de Fátima;TO;1164;21;19;90.47619047619048;2022
171570;1715705;Palmeirante;TO;4798;62;35;56.451612903225815;2022
171575;1715754;Palmeirópolis;TO;6975;84;71;84.52380952380952;2022
171610;1716109;Paraíso do Tocantins;TO;52360;760;593;78.02631578947368;2022
171620;1716208;Paranã;TO;10542;141;99;70.2127659574468;2022
171630;1716307;Pau D'Arco;TO;4043;50;40;80.0;2022
171650;1716505;Pedro Afonso;TO;14055;222;146;65.76576576576578;2022
171660;1716604;Peixe;TO;9317;123;96;78.04878048780488;2022
171665;1716653;Pequizeiro;TO;4921;64;53;82.8125;2022
171670;1716703;Colméia;TO;8941;106;83;78.30188679245283;2022
171700;1717008;Pindorama do Tocantins;TO;4478;62;42;67.74193548387096;2022
171720;1717206;Piraquê;TO;2282;33;30;90.9090909090909;2022
171750;1717503;Pium;TO;7128;95;69;72.63157894736842;2022
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;41;34;82.92682926829268;2022
171790;1717909;Ponte Alta do Tocantins;TO;7586;104;76;73.07692307692307;2022
171800;1718006;Porto Alegre do Tocantins;TO;2866;37;25;67.56756756756756;2022
171820;1718204;Porto Nacional;TO;64418;1025;729;71.1219512195122;2022
171830;1718303;Praia Norte;TO;9044;91;64;70.32967032967034;2022
171840;1718402;Presidente Kennedy;TO;3047;33;29;87.87878787878788;2022
171845;1718451;Pugmil;TO;2193;29;23;79.3103448275862;2022
171850;1718501;Recursolândia;TO;3421;66;51;77.27272727272727;2022
171855;1718550;Riachinho;TO;3960;59;42;71.1864406779661;2022
171865;1718659;Rio da Conceição;TO;1768;24;17;70.83333333333334;2022
171870;1718709;Rio dos Bois;TO;2738;32;29;90.625;2022
171875;1718758;Rio Sono;TO;4841;63;47;74.60317460317461;2022
171880;1718808;Sampaio;TO;4215;82;62;75.60975609756098;2022
171884;1718840;Sandolândia;TO;3723;63;40;63.49206349206349;2022
171886;1718865;Santa Fé do Araguaia;TO;7216;121;93;76.85950413223141;2022
171888;1718881;Santa Maria do Tocantins;TO;2680;47;32;68.08510638297872;2022
171889;1718899;Santa Rita do Tocantins;TO;2219;27;23;85.18518518518519;2022
171890;1718907;Santa Rosa do Tocantins;TO;4653;73;58;79.45205479452055;2022
171900;1719004;Santa Tereza do Tocantins;TO;2781;50;45;90.0;2022
172000;1720002;Santa Terezinha do Tocantins;TO;2406;35;33;94.28571428571428;2022
172010;1720101;São Bento do Tocantins;TO;5654;102;80;78.43137254901961;2022
172015;1720150;São Félix do Tocantins;TO;1783;18;9;50.0;2022
172020;1720200;São Miguel do Tocantins;TO;13241;145;93;64.13793103448275;2022
172025;1720259;São Salvador do Tocantins;TO;2385;38;28;73.68421052631578;2022
172030;1720309;São Sebastião do Tocantins;TO;4100;62;52;83.87096774193549;2022
172049;1720499;São Valério;TO;4422;53;43;81.13207547169812;2022
172065;1720655;Silvanópolis;TO;5108;76;52;68.42105263157895;2022
172080;1720804;Sítio Novo do Tocantins;TO;10830;127;101;79.52755905511812;2022
172085;1720853;Sucupira;TO;1577;14;13;92.85714285714286;2022
172090;1720903;Taguatinga;TO;14011;175;123;70.28571428571428;2022
172093;1720937;Taipas do Tocantins;TO;2021;28;20;71.42857142857143;2022
172097;1720978;Talismã;TO;2456;28;19;67.85714285714286;2022
172100;1721000;Palmas;TO;302692;4762;3661;76.87946241075178;2022
172110;1721109;Tocantínia;TO;7459;170;65;38.23529411764706;2022
172120;1721208;Tocantinópolis;TO;22615;331;257;77.64350453172206;2022
172125;1721257;Tupirama;TO;1909;24;17;70.83333333333334;2022
172130;1721307;Tupiratins;TO;1874;23;16;69.56521739130434;2022
172208;1722081;Wanderlândia;TO;10522;120;87;72.5;2022
172210;1722107;Xambioá;TO;10517;156;107;68.58974358974359;2022
