CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
17004      ATIVO              Rio Formoso - TO                     RIO FORMOSO - TO                           Rio Formoso - TO                     1
17005      ATIVO              Gurupi - TO                          GURUPI - TO                                Gurupi - TO                          1
17006      ATIVO              Porto Nacional - TO                  PORTO NACIONAL - TO                        Porto Nacional - TO                  1
17007      ATIVO              Jalapao - TO                         JALAPAO - TO                               Jalapao - TO                         1
17008      ATIVO              Dianopolis - TO                      DIANOPOLIS - TO                            Dianopolis - TO                      1
21000      IGNOR              Municipio Ignorado - Ma -            MUNICIPIO IGNORADO - MA -                  Municipio Ignorado - Ma -            8
21001      ATIVO              Litoral Ocidental Maranhense - MA    LITORAL OCIDENTAL MARANHENSE - MA          Litoral Ocidental Maranhense - MA    1
21002      ATIVO              Aglomeracao Urbana De Sao Luis - MA  AGLOMERACAO URBANA DE SAO LUIS - MA        Aglomeracao Urbana De Sao Luis - MA  1
21003      ATIVO              Rosario - MA                         ROSARIO - MA                               Rosario - MA                         1
21004      ATIVO              Lencois Maranhenses - MA             LENCOIS MARANHENSES - MA                   Lencois Maranhenses - MA             1
21005      ATIVO              Baixada Maranhense - MA              BAIXADA MARANHENSE - MA                    Baixada Maranhense - MA              1
21006      ATIVO              Itapecuru Mirim - MA                 ITAPECURU MIRIM - MA                       Itapecuru Mirim - MA                 1
21007      ATIVO              Gurupi - MA                          GURUPI - MA                                Gurupi - MA                          1
21008      ATIVO              Pindare - MA                         PINDARE - MA                               Pindare - MA                         1
21009      ATIVO              Imperatriz - MA                      IMPERATRIZ - MA                            Imperatriz - MA                      1
21010      ATIVO              Medio Mearim - MA                    MEDIO MEARIM - MA                          Medio Mearim - MA                    1
21011      ATIVO              Alto Mearim E Grajau - MA            ALTO MEARIM E GRAJAU - MA                  Alto Mearim E Grajau - MA            1
21012      ATIVO              Presidente Dutra - MA                PRESIDENTE DUTRA - MA                      Presidente Dutra - MA                1
21013      ATIVO              Baixo Parnaiba Maranhense - MA       BAIXO PARNAIBA MARANHENSE - MA             Baixo Parnaiba Maranhense - MA       1
21014      ATIVO              Chapadinha - MA                      CHAPADINHA - MA                            Chapadinha - MA                      1
21015      ATIVO              Codo - MA                            CODO - MA                                  Codo - MA                            1
21016      ATIVO              Coelho Neto - MA                     COELHO NETO - MA                           Coelho Neto - MA                     1
21017      ATIVO              Caxias - MA                          CAXIAS - MA                                Caxias - MA                          1
21018      ATIVO              Chapadas Do Alto Itapecuru - MA      CHAPADAS DO ALTO ITAPECURU - MA            Chapadas Do Alto Itapecuru - MA      1
21019      ATIVO              Porto Franco - MA                    PORTO FRANCO - MA                          Porto Franco - MA                    1
21020      ATIVO              Gerais De Balsas - MA                GERAIS DE BALSAS - MA                      Gerais De Balsas - MA                1
21021      ATIVO              Chapadas Das Mangabeiras - MA        CHAPADAS DAS MANGABEIRAS - MA              Chapadas Das Mangabeiras - MA        1
22000      IGNOR              Municipio Ignorado - Pi -            MUNICIPIO IGNORADO - PI -                  Municipio Ignorado - Pi -            8
22001      ATIVO              Baixo Parnaiba Piauiense - PI        BAIXO PARNAIBA PIAUIENSE - PI              Baixo Parnaiba Piauiense - PI        1
