CO_MICIBGE CO_ATIVOTATUATIVO  DS_NOME                              DS_NOMEPAD                                 DS_ABREV                             NU_ORDEM
31002      ATIVO              Paracatu - MG                        PARACATU - MG                              Paracatu - MG                        1
31003      ATIVO              Januaria - MG                        JANUARIA - MG                              Januaria - MG                        1
31004      ATIVO              Janauba - MG                         JANAUBA - MG                               Janauba - MG                         1
31005      ATIVO              Salinas - MG                         SALINAS - MG                               Salinas - MG                         1
31006      ATIVO              Pirapora - MG                        PIRAPORA - MG                              Pirapora - MG                        1
31007      ATIVO              Montes Claros - MG                   MONTES CLAROS - MG                         Montes Claros - MG                   1
31008      ATIVO              Grao Mogol - MG                      GRAO MOGOL - MG                            Grao Mogol - MG                      1
31009      ATIVO              Bocaiuva - MG                        BOCAIUVA - MG                              Bocaiuva - MG                        1
31010      ATIVO              Diamantina - MG                      DIAMANTINA - MG                            Diamantina - MG                      1
31011      ATIVO              Capelinha - MG                       CAPELINHA - MG                             Capelinha - MG                       1
31012      ATIVO              Aracuai - MG                         ARACUAI - MG                               Aracuai - MG                         1
31013      ATIVO              Pedra Azul - MG                      PEDRA AZUL - MG                            Pedra Azul - MG                      1
31014      ATIVO              Almenara - MG                        ALMENARA - MG                              Almenara - MG                        1
31015      ATIVO              Teofilo Otoni - MG                   TEOFILO OTONI - MG                         Teofilo Otoni - MG                   1
31016      ATIVO              Nanuque - MG                         NANUQUE - MG                               Nanuque - MG                         1
31017      ATIVO              Ituiutaba - MG                       ITUIUTABA - MG                             Ituiutaba - MG                       1
31018      ATIVO              Uberlandia - MG                      UBERLANDIA - MG                            Uberlandia - MG                      1
31019      ATIVO              Patrocinio - MG                      PATROCINIO - MG                            Patrocinio - MG                      1
31020      ATIVO              Patos De Minas - MG                  PATOS DE MINAS - MG                        Patos De Minas - MG                  1
31021      ATIVO              Frutal - MG                          FRUTAL - MG                                Frutal - MG                          1
31022      ATIVO              Uberaba - MG                         UBERABA - MG                               Uberaba - MG                         1
31023      ATIVO              Araxa - MG                           ARAXA - MG                                 Araxa - MG                           1
31024      ATIVO              Tres Marias - MG                     TRES MARIAS - MG                           Tres Marias - MG                     1
31025      ATIVO              Curvelo - MG                         CURVELO - MG                               Curvelo - MG                         1
31026      ATIVO              Bom Despacho - MG                    BOM DESPACHO - MG                          Bom Despacho - MG                    1
31027      ATIVO              Sete Lagoas - MG                     SETE LAGOAS - MG                           Sete Lagoas - MG                     1
31028      ATIVO              Conceicao Do Mato Dentro - MG        CONCEICAO DO MATO DENTRO - MG              Conceicao Do Mato Dentro - MG        1
31029      ATIVO              Para De Minas - MG                   PARA DE MINAS - MG                         Para De Minas - MG                   1
31030      ATIVO              Belo Horizonte - MG                  BELO HORIZONTE - MG                        Belo Horizonte - MG                  1
31031      ATIVO              Itabira - MG                         ITABIRA - MG                               Itabira - MG                         1
31032      ATIVO              Itaguara - MG                        ITAGUARA - MG                              Itaguara - MG                        1
31033      ATIVO              Ouro Preto - MG                      OURO PRETO - MG                            Ouro Preto - MG                      1
31034      ATIVO              Conselheiro Lafaiete - MG            CONSELHEIRO LAFAIETE - MG                  Conselheiro Lafaiete - MG            1
31035      ATIVO              Guanhaes - MG                        GUANHAES - MG                              Guanhaes - MG                        1
31036      ATIVO              Pecanha - MG                         PECANHA - MG                               Pecanha - MG                         1
31037      ATIVO              Governador Valadares - MG            GOVERNADOR VALADARES - MG                  Governador Valadares - MG            1
31038      ATIVO              Mantena - MG                         MANTENA - MG                               Mantena - MG                         1
31039      ATIVO              Ipatinga - MG                        IPATINGA - MG                              Ipatinga - MG                        1
31040      ATIVO              Caratinga - MG                       CARATINGA - MG                             Caratinga - MG                       1
31041      ATIVO              Aimores - MG                         AIMORES - MG                               Aimores - MG                         1
31042      ATIVO              Piui - MG                            PIUI - MG                                  Piui - MG                            1
31043      ATIVO              Divinopolis - MG                     DIVINOPOLIS - MG                           Divinopolis - MG                     1
31044      ATIVO              Formiga - MG                         FORMIGA - MG                               Formiga - MG                         1
31045      ATIVO              Campo Belo - MG                      CAMPO BELO - MG                            Campo Belo - MG                      1
31046      ATIVO              Oliveira - MG                        OLIVEIRA - MG                              Oliveira - MG                        1
31047      ATIVO              Passos - MG                          PASSOS - MG                                Passos - MG                          1
31048      ATIVO              Sao Sebastiao Do Paraiso - MG        SAO SEBASTIAO DO PARAISO - MG              Sao Sebastiao Do Paraiso - MG        1
31049      ATIVO              Alfenas - MG                         ALFENAS - MG                               Alfenas - MG                         1
31050      ATIVO              Varginha - MG                        VARGINHA - MG                              Varginha - MG                        1
31051      ATIVO              Pocos De Caldas - MG                 POCOS DE CALDAS - MG                       Pocos De Caldas - MG                 1
31052      ATIVO              Pouso Alegre - MG                    POUSO ALEGRE - MG                          Pouso Alegre - MG                    1
31053      ATIVO              Santa Rita Do Sapucai - MG           SANTA RITA DO SAPUCAI - MG                 Santa Rita Do Sapucai - MG           1
31054      ATIVO              Sao Lourenco - MG                    SAO LOURENCO - MG                          Sao Lourenco - MG                    1
31055      ATIVO              Andrelandia - MG                     ANDRELANDIA - MG                           Andrelandia - MG                     1
31056      ATIVO              Itajuba - MG                         ITAJUBA - MG                               Itajuba - MG                         1
31057      ATIVO              Lavras - MG                          LAVRAS - MG                                Lavras - MG                          1
31058      ATIVO              Sao Joao Del Rei - MG                SAO JOAO DEL REI - MG                      Sao Joao Del Rei - MG                1
31059      ATIVO              Barbacena - MG                       BARBACENA - MG                             Barbacena - MG                       1
31060      ATIVO              Ponte Nova - MG                      PONTE NOVA - MG                            Ponte Nova - MG                      1
31061      ATIVO              Manhuacu - MG                        MANHUACU - MG                              Manhuacu - MG                        1
31062      ATIVO              Vicosa - MG                          VICOSA - MG                                Vicosa - MG                          1
31063      ATIVO              Muriae - MG                          MURIAE - MG                                Muriae - MG                          1
31064      ATIVO              Uba - MG                             UBA - MG                                   Uba - MG                             1
31065      ATIVO              Juiz De Fora - MG                    JUIZ DE FORA - MG                          Juiz De Fora - MG                    1
31066      ATIVO              Cataguases - MG                      CATAGUASES - MG                            Cataguases - MG                      1
32000      IGNOR              Municipio Ignorado - Es -            MUNICIPIO IGNORADO - ES -                  Municipio Ignorado - Es -            8
32001      ATIVO              Barra De Sao Francisco - ES          BARRA DE SAO FRANCISCO - ES                Barra De Sao Francisco - ES          1
32002      ATIVO              Nova Venecia - ES                    NOVA VENECIA - ES                          Nova Venecia - ES                    1
32003      ATIVO              Colatina - ES                        COLATINA - ES                              Colatina - ES                        1
32004      ATIVO              Montanha - ES                        MONTANHA - ES                              Montanha - ES                        1
32005      ATIVO              Sao Mateus - ES                      SAO MATEUS - ES                            Sao Mateus - ES                      1
32006      ATIVO              Linhares - ES                        LINHARES - ES                              Linhares - ES                        1
32007      ATIVO              Afonso Claudio - ES                  AFONSO CLAUDIO - ES                        Afonso Claudio - ES                  1
32008      ATIVO              Santa Teresa - ES                    SANTA TERESA - ES                          Santa Teresa - ES                    1
32009      ATIVO              Vitoria - ES                         VITORIA - ES                               Vitoria - ES                         1
32010      ATIVO              Guarapari - ES                       GUARAPARI - ES                             Guarapari - ES                       1
32011      ATIVO              Alegre - ES                          ALEGRE - ES                                Alegre - ES                          1
32012      ATIVO              Cachoeiro De Itapemirim - ES         CACHOEIRO DE ITAPEMIRIM - ES               Cachoeiro De Itapemirim - ES         1
32013      ATIVO              Itapemirim - ES                      ITAPEMIRIM - ES                            Itapemirim - ES                      1
33000      IGNOR              Municipio Ignorado - Rj -            MUNICIPIO IGNORADO - RJ -                  Municipio Ignorado - Rj -            8
33001      ATIVO              Itaperuna - RJ                       ITAPERUNA - RJ                             Itaperuna - RJ                       1
33002      ATIVO              Santo Antonio De Padua - RJ          SANTO ANTONIO DE PADUA - RJ                Santo Antonio De Padua - RJ          1
33003      ATIVO              Campos Dos Goytacazes - RJ           CAMPOS DOS GOYTACAZES - RJ                 Campos Dos Goytacazes - RJ           1
33004      ATIVO              Macae - RJ                           MACAE - RJ                                 Macae - RJ                           1
33005      ATIVO              Tres Rios - RJ                       TRES RIOS - RJ                             Tres Rios - RJ                       1
33006      ATIVO              Cantagalo-Cordeiro - RJ              CANTAGALO-CORDEIRO - RJ                    Cantagalo-Cordeiro - RJ              1
33007      ATIVO              Nova Friburgo - RJ                   NOVA FRIBURGO - RJ                         Nova Friburgo - RJ                   1
33008      ATIVO              Santa Maria Madalena - RJ            SANTA MARIA MADALENA - RJ                  Santa Maria Madalena - RJ            1
33009      ATIVO              Bacia De Sao Joao - RJ               BACIA DE SAO JOAO - RJ                     Bacia De Sao Joao - RJ               1
33010      ATIVO              Lagos - RJ                           LAGOS - RJ                                 Lagos - RJ                           1
33011      ATIVO              Vale Do Paraiba Fluminense - RJ      VALE DO PARAIBA FLUMINENSE - RJ            Vale Do Paraiba Fluminense - RJ      1
33012      ATIVO              Barra Do Pirai - RJ                  BARRA DO PIRAI - RJ                        Barra Do Pirai - RJ                  1
33013      ATIVO              Baia Da Ilha Grande - RJ             BAIA DA ILHA GRANDE - RJ                   Baia Da Ilha Grande - RJ             1
33014      ATIVO              Vassouras - RJ                       VASSOURAS - RJ                             Vassouras - RJ                       1
33015      ATIVO              Serrana - RJ                         SERRANA - RJ                               Serrana - RJ                         1
33016      ATIVO              Macacu-Caceribu - RJ                 MACACU-CACERIBU - RJ                       Macacu-Caceribu - RJ                 1
33017      ATIVO              Itaguai - RJ                         ITAGUAI - RJ                               Itaguai - RJ                         1
33018      ATIVO              Rio De Janeiro - RJ                  RIO DE JANEIRO - RJ                        Rio De Janeiro - RJ                  1
35000      IGNOR              Municipio Ignorado - Sp -            MUNICIPIO IGNORADO - SP -                  Municipio Ignorado - Sp -            8
35001      ATIVO              Jales - SP                           JALES - SP                                 Jales - SP                           1
35002      ATIVO              Fernandopolis - SP                   FERNANDOPOLIS - SP                         Fernandopolis - SP                   1
35003      ATIVO              Votuporanga - SP                     VOTUPORANGA - SP                           Votuporanga - SP                     1
35004      ATIVO              Sao Jose Do Rio Preto - SP           SAO JOSE DO RIO PRETO - SP                 Sao Jose Do Rio Preto - SP           1
35005      ATIVO              Catanduva - SP                       CATANDUVA - SP                             Catanduva - SP                       1
35006      ATIVO              Auriflama - SP                       AURIFLAMA - SP                             Auriflama - SP                       1
35007      ATIVO              Nhandeara - SP                       NHANDEARA - SP                             Nhandeara - SP                       1
35008      ATIVO              Novo Horizonte - SP                  NOVO HORIZONTE - SP                        Novo Horizonte - SP                  1
35009      ATIVO              Barretos - SP                        BARRETOS - SP                              Barretos - SP                        1
35010      ATIVO              Sao Joaquim Da Barra - SP            SAO JOAQUIM DA BARRA - SP                  Sao Joaquim Da Barra - SP            1
35011      ATIVO              Ituverava - SP                       ITUVERAVA - SP                             Ituverava - SP                       1
35012      ATIVO              Franca - SP                          FRANCA - SP                                Franca - SP                          1
35013      ATIVO              Jaboticabal - SP                     JABOTICABAL - SP                           Jaboticabal - SP                     1
35014      ATIVO              Ribeirao Preto - SP                  RIBEIRAO PRETO - SP                        Ribeirao Preto - SP                  1
35015      ATIVO              Batatais - SP                        BATATAIS - SP                              Batatais - SP                        1
35016      ATIVO              Andradina - SP                       ANDRADINA - SP                             Andradina - SP                       1
35017      ATIVO              Aracatuba - SP                       ARACATUBA - SP                             Aracatuba - SP                       1
35018      ATIVO              Birigui - SP                         BIRIGUI - SP                               Birigui - SP                         1
35019      ATIVO              Lins - SP                            LINS - SP                                  Lins - SP                            1
35020      ATIVO              Bauru - SP                           BAURU - SP                                 Bauru - SP                           1
35021      ATIVO              Jau - SP                             JAU - SP                                   Jau - SP                             1
35022      ATIVO              Avare - SP                           AVARE - SP                                 Avare - SP                           1
35023      ATIVO              Botucatu - SP                        BOTUCATU - SP                              Botucatu - SP                        1
35024      ATIVO              Araraquara - SP                      ARARAQUARA - SP                            Araraquara - SP                      1
35025      ATIVO              Sao Carlos - SP                      SAO CARLOS - SP                            Sao Carlos - SP                      1
35026      ATIVO              Rio Claro - SP                       RIO CLARO - SP                             Rio Claro - SP                       1
35027      ATIVO              Limeira - SP                         LIMEIRA - SP                               Limeira - SP                         1
35028      ATIVO              Piracicaba - SP                      PIRACICABA - SP                            Piracicaba - SP                      1
35029      ATIVO              Pirassununga - SP                    PIRASSUNUNGA - SP                          Pirassununga - SP                    1
35030      ATIVO              Sao Joao Da Boa Vista - SP           SAO JOAO DA BOA VISTA - SP                 Sao Joao Da Boa Vista - SP           1
35031      ATIVO              Moji Mirim - SP                      MOJI MIRIM - SP                            Moji Mirim - SP                      1
35032      ATIVO              Campinas - SP                        CAMPINAS - SP                              Campinas - SP                        1
35033      ATIVO              Amparo - SP                          AMPARO - SP                                Amparo - SP                          1
35034      ATIVO              Dracena - SP                         DRACENA - SP                               Dracena - SP                         1
35035      ATIVO              Adamantina - SP                      ADAMANTINA - SP                            Adamantina - SP                      1
35036      ATIVO              Presidente Prudente - SP             PRESIDENTE PRUDENTE - SP                   Presidente Prudente - SP             1
35037      ATIVO              Tupa - SP                            TUPA - SP                                  Tupa - SP                            1
35038      ATIVO              Marilia - SP                         MARILIA - SP                               Marilia - SP                         1
35039      ATIVO              Assis - SP                           ASSIS - SP                                 Assis - SP                           1
35040      ATIVO              Ourinhos - SP                        OURINHOS - SP                              Ourinhos - SP                        1
35041      ATIVO              Itapeva - SP                         ITAPEVA - SP                               Itapeva - SP                         1
35042      ATIVO              Itapetininga - SP                    ITAPETININGA - SP                          Itapetininga - SP                    1
35043      ATIVO              Tatui - SP                           TATUI - SP                                 Tatui - SP                           1
35044      ATIVO              Capao Bonito - SP                    CAPAO BONITO - SP                          Capao Bonito - SP                    1
35045      ATIVO              Piedade - SP                         PIEDADE - SP                               Piedade - SP                         1
35046      ATIVO              Sorocaba - SP                        SOROCABA - SP                              Sorocaba - SP                        1
35047      ATIVO              Jundiai - SP                         JUNDIAI - SP                               Jundiai - SP                         1
35048      ATIVO              Braganca Paulista - SP               BRAGANCA PAULISTA - SP                     Braganca Paulista - SP               1
35049      ATIVO              Campos Do Jordao - SP                CAMPOS DO JORDAO - SP                      Campos Do Jordao - SP                1
35050      ATIVO              Sao Jose Dos Campos - SP             SAO JOSE DOS CAMPOS - SP                   Sao Jose Dos Campos - SP             1
35051      ATIVO              Guaratingueta - SP                   GUARATINGUETA - SP                         Guaratingueta - SP                   1
35052      ATIVO              Bananal - SP                         BANANAL - SP                               Bananal - SP                         1
35053      ATIVO              Paraibuna/Paraitinga - SP            PARAIBUNA/PARAITINGA - SP                  Paraibuna/Paraitinga - SP            1
35054      ATIVO              Caraguatatuba - SP                   CARAGUATATUBA - SP                         Caraguatatuba - SP                   1
35055      ATIVO              Registro - SP                        REGISTRO - SP                              Registro - SP                        1
35056      ATIVO              Itanhaem - SP                        ITANHAEM - SP                              Itanhaem - SP                        1
35057      ATIVO              Osasco - SP                          OSASCO - SP                                Osasco - SP                          1
35058      ATIVO              Franco Da Rocha - SP                 FRANCO DA ROCHA - SP                       Franco Da Rocha - SP                 1
35059      ATIVO              Guarulhos - SP                       GUARULHOS - SP                             Guarulhos - SP                       1
35060      ATIVO              Itapecerica Da Serra - SP            ITAPECERICA DA SERRA - SP                  Itapecerica Da Serra - SP            1
35061      ATIVO              Sao Paulo - SP                       SAO PAULO - SP                             Sao Paulo - SP                       1
35062      ATIVO              Mogi Das Cruzes - SP                 MOGI DAS CRUZES - SP                       Mogi Das Cruzes - SP                 1
35063      ATIVO              Santos - SP                          SANTOS - SP                                Santos - SP                          1
41000      IGNOR              Municipio Ignorado - Pr -            MUNICIPIO IGNORADO - PR -                  Municipio Ignorado - Pr -            8
41001      ATIVO              Paranavai - PR                       PARANAVAI - PR                             Paranavai - PR                       1
41002      ATIVO              Umuarama - PR                        UMUARAMA - PR                              Umuarama - PR                        1
41003      ATIVO              Cianorte - PR                        CIANORTE - PR                              Cianorte - PR                        1
41004      ATIVO              Goioere - PR                         GOIOERE - PR                               Goioere - PR                         1
41005      ATIVO              Campo Mourao - PR                    CAMPO MOURAO - PR                          Campo Mourao - PR                    1
41006      ATIVO              Astorga - PR                         ASTORGA - PR                               Astorga - PR                         1
41007      ATIVO              Porecatu - PR                        PORECATU - PR                              Porecatu - PR                        1
41008      ATIVO              Florai - PR                          FLORAI - PR                                Florai - PR                          1
41009      ATIVO              Maringa - PR                         MARINGA - PR                               Maringa - PR                         1
41010      ATIVO              Apucarana - PR                       APUCARANA - PR                             Apucarana - PR                       1
41011      ATIVO              Londrina - PR                        LONDRINA - PR                              Londrina - PR                        1
41012      ATIVO              Faxinal - PR                         FAXINAL - PR                               Faxinal - PR                         1
41013      ATIVO              Ivaipora - PR                        IVAIPORA - PR                              Ivaipora - PR                        1
41014      ATIVO              Assai - PR                           ASSAI - PR                                 Assai - PR                           1
41015      ATIVO              Cornelio Procopio - PR               CORNELIO PROCOPIO - PR                     Cornelio Procopio - PR               1
41016      ATIVO              Jacarezinho - PR                     JACAREZINHO - PR                           Jacarezinho - PR                     1
41017      ATIVO              Ibaiti - PR                          IBAITI - PR                                Ibaiti - PR                          1
41018      ATIVO              Wenceslau Braz - PR                  WENCESLAU BRAZ - PR                        Wenceslau Braz - PR                  1
41019      ATIVO              Telemaco Borba - PR                  TELEMACO BORBA - PR                        Telemaco Borba - PR                  1
41020      ATIVO              Jaguariaiva - PR                     JAGUARIAIVA - PR                           Jaguariaiva - PR                     1
41021      ATIVO              Ponta Grossa - PR                    PONTA GROSSA - PR                          Ponta Grossa - PR                    1
41022      ATIVO              Toledo - PR                          TOLEDO - PR                                Toledo - PR                          1
41023      ATIVO              Cascavel - PR                        CASCAVEL - PR                              Cascavel - PR                        1
41024      ATIVO              Foz Do Iguacu - PR                   FOZ DO IGUACU - PR                         Foz Do Iguacu - PR                   1
41025      ATIVO              Capanema - PR                        CAPANEMA - PR                              Capanema - PR                        1
41026      ATIVO              Francisco Beltrao - PR               FRANCISCO BELTRAO - PR                     Francisco Beltrao - PR               1
41027      ATIVO              Pato Branco - PR                     PATO BRANCO - PR                           Pato Branco - PR                     1
41028      ATIVO              Pitanga - PR                         PITANGA - PR                               Pitanga - PR                         1
41029      ATIVO              Guarapuava - PR                      GUARAPUAVA - PR                            Guarapuava - PR                      1
41030      ATIVO              Palmas - PR                          PALMAS - PR                                Palmas - PR                          1
41031      ATIVO              Prudentopolis - PR                   PRUDENTOPOLIS - PR                         Prudentopolis - PR                   1
41032      ATIVO              Irati - PR                           IRATI - PR                                 Irati - PR                           1
41033      ATIVO              Uniao Da Vitoria - PR                UNIAO DA VITORIA - PR                      Uniao Da Vitoria - PR                1
41034      ATIVO              Sao Mateus Do Sul - PR               SAO MATEUS DO SUL - PR                     Sao Mateus Do Sul - PR               1
41035      ATIVO              Cerro Azul - PR                      CERRO AZUL - PR                            Cerro Azul - PR                      1
41036      ATIVO              Lapa - PR                            LAPA - PR                                  Lapa - PR                            1
41037      ATIVO              Curitiba - PR                        CURITIBA - PR                              Curitiba - PR                        1
41038      ATIVO              Paranagua - PR                       PARANAGUA - PR                             Paranagua - PR                       1
41039      ATIVO              Rio Negro - PR                       RIO NEGRO - PR                             Rio Negro - PR                       1
42000      IGNOR              Municipio Ignorado - Sc -            MUNICIPIO IGNORADO - SC -                  Municipio Ignorado - Sc -            8
42001      ATIVO              Sao Miguel Do Oeste - SC             SAO MIGUEL DO OESTE - SC                   Sao Miguel Do Oeste - SC             1
42002      ATIVO              Chapeco - SC                         CHAPECO - SC                               Chapeco - SC                         1
42003      ATIVO              Xanxere - SC                         XANXERE - SC                               Xanxere - SC                         1
42004      ATIVO              Joacaba - SC                         JOACABA - SC                               Joacaba - SC                         1
42005      ATIVO              Concordia - SC                       CONCORDIA - SC                             Concordia - SC                       1
42006      ATIVO              Canoinhas - SC                       CANOINHAS - SC                             Canoinhas - SC                       1
42007      ATIVO              Sao Bento Do Sul - SC                SAO BENTO DO SUL - SC                      Sao Bento Do Sul - SC                1
42008      ATIVO              Joinville - SC                       JOINVILLE - SC                             Joinville - SC                       1
42009      ATIVO              Curitibanos - SC                     CURITIBANOS - SC                           Curitibanos - SC                     1
42010      ATIVO              Campos De Lages - SC                 CAMPOS DE LAGES - SC                       Campos De Lages - SC                 1
42011      ATIVO              Rio Do Sul - SC                      RIO DO SUL - SC                            Rio Do Sul - SC                      1
42012      ATIVO              Blumenau - SC                        BLUMENAU - SC                              Blumenau - SC                        1
42013      ATIVO              Itajai - SC                          ITAJAI - SC                                Itajai - SC                          1
42014      ATIVO              Ituporanga - SC                      ITUPORANGA - SC                            Ituporanga - SC                      1
42015      ATIVO              Tijucas - SC                         TIJUCAS - SC                               Tijucas - SC                         1
42016      ATIVO              Florianopolis - SC                   FLORIANOPOLIS - SC                         Florianopolis - SC                   1
42017      ATIVO              Tabuleiro - SC                       TABULEIRO - SC                             Tabuleiro - SC                       1
42018      ATIVO              Tubarao - SC                         TUBARAO - SC                               Tubarao - SC                         1
42019      ATIVO              Criciuma - SC                        CRICIUMA - SC                              Criciuma - SC                        1
42020      ATIVO              Ararangua - SC                       ARARANGUA - SC                             Ararangua - SC                       1
43000      IGNOR              Municipio Ignorado - Rs -            MUNICIPIO IGNORADO - RS -                  Municipio Ignorado - Rs -            8
43001      ATIVO              Santa Rosa - RS                      SANTA ROSA - RS                            Santa Rosa - RS                      1
43002      ATIVO              Tres Passos - RS                     TRES PASSOS - RS                           Tres Passos - RS                     1
43003      ATIVO              Frederico Westphalen - RS            FREDERICO WESTPHALEN - RS                  Frederico Westphalen - RS            1
43004      ATIVO              Erechim - RS                         ERECHIM - RS                               Erechim - RS                         1
43005      ATIVO              Sananduva - RS                       SANANDUVA - RS                             Sananduva - RS                       1
43006      ATIVO              Cerro Largo - RS                     CERRO LARGO - RS                           Cerro Largo - RS                     1
43007      ATIVO              Santo Angelo - RS                    SANTO ANGELO - RS                          Santo Angelo - RS                    1
43008      ATIVO              Ijui - RS                            IJUI - RS                                  Ijui - RS                            1
43009      ATIVO              Carazinho - RS                       CARAZINHO - RS                             Carazinho - RS                       1
43010      ATIVO              Passo Fundo - RS                     PASSO FUNDO - RS                           Passo Fundo - RS                     1
43011      ATIVO              Cruz Alta - RS                       CRUZ ALTA - RS                             Cruz Alta - RS                       1
43012      ATIVO              Nao-Me-Toque - RS                    NAO-ME-TOQUE - RS                          Nao-Me-Toque - RS                    1
43013      ATIVO              Soledade - RS                        SOLEDADE - RS                              Soledade - RS                        1
43014      ATIVO              Guapore - RS                         GUAPORE - RS                               Guapore - RS                         1
43015      ATIVO              Vacaria - RS                         VACARIA - RS                               Vacaria - RS                         1
43016      ATIVO              Caxias Do Sul - RS                   CAXIAS DO SUL - RS                         Caxias Do Sul - RS                   1
43017      ATIVO              Santiago - RS                        SANTIAGO - RS                              Santiago - RS                        1
43018      ATIVO              Santa Maria - RS                     SANTA MARIA - RS                           Santa Maria - RS                     1
43019      ATIVO              Restinga Seca - RS                   RESTINGA SECA - RS                         Restinga Seca - RS                   1
43020      ATIVO              Santa Cruz Do Sul - RS               SANTA CRUZ DO SUL - RS                     Santa Cruz Do Sul - RS               1
43021      ATIVO              Lajeado-Estrela - RS                 LAJEADO-ESTRELA - RS                       Lajeado-Estrela - RS                 1
43022      ATIVO              Cachoeira Do Sul - RS                CACHOEIRA DO SUL - RS                      Cachoeira Do Sul - RS                1
43023      ATIVO              Montenegro - RS                      MONTENEGRO - RS                            Montenegro - RS                      1
43024      ATIVO              Gramado-Canela - RS                  GRAMADO-CANELA - RS                        Gramado-Canela - RS                  1
43025      ATIVO              Sao Jeronimo - RS                    SAO JERONIMO - RS                          Sao Jeronimo - RS                    1
43026      ATIVO              Porto Alegre - RS                    PORTO ALEGRE - RS                          Porto Alegre - RS                    1
43027      ATIVO              Osorio - RS                          OSORIO - RS                                Osorio - RS                          1
43028      ATIVO              Camaqua - RS                         CAMAQUA - RS                               Camaqua - RS                         1
43029      ATIVO              Campanha Ocidental - RS              CAMPANHA OCIDENTAL - RS                    Campanha Ocidental - RS              1
43030      ATIVO              Campanha Central - RS                CAMPANHA CENTRAL - RS                      Campanha Central - RS                1
43031      ATIVO              Campanha Meridional - RS             CAMPANHA MERIDIONAL - RS                   Campanha Meridional - RS             1
43032      ATIVO              Serras De Sudeste - RS               SERRAS DE SUDESTE - RS                     Serras De Sudeste - RS               1
43033      ATIVO              Pelotas - RS                         PELOTAS - RS                               Pelotas - RS                         1
43034      ATIVO              Jaguarao - RS                        JAGUARAO - RS                              Jaguarao - RS                        1
43035      ATIVO              Litoral Lagunar - RS                 LITORAL LAGUNAR - RS                       Litoral Lagunar - RS                 1
50000      IGNOR              Municipio Ignorado - Ms -            MUNICIPIO IGNORADO - MS -                  Municipio Ignorado - Ms -            8
50001      ATIVO              Baixo Pantanal - MS                  BAIXO PANTANAL - MS                        Baixo Pantanal - MS                  1
50002      ATIVO              Aquidauana - MS                      AQUIDAUANA - MS                            Aquidauana - MS                      1
50003      ATIVO              Alto Taquari - MS                    ALTO TAQUARI - MS                          Alto Taquari - MS                    1
50004      ATIVO              Campo Grande - MS                    CAMPO GRANDE - MS                          Campo Grande - MS                    1
50005      ATIVO              Cassilandia - MS                     CASSILANDIA - MS                           Cassilandia - MS                     1
50006      ATIVO              Paranaiba - MS                       PARANAIBA - MS                             Paranaiba - MS                       1
50007      ATIVO              Tres Lagoas - MS                     TRES LAGOAS - MS                           Tres Lagoas - MS                     1
50008      ATIVO              Nova Andradina - MS                  NOVA ANDRADINA - MS                        Nova Andradina - MS                  1
50009      ATIVO              Bodoquena - MS                       BODOQUENA - MS                             Bodoquena - MS                       1
50010      ATIVO              Dourados - MS                        DOURADOS - MS                              Dourados - MS                        1
50011      ATIVO              Iguatemi - MS                        IGUATEMI - MS                              Iguatemi - MS                        1
51000      IGNOR              Municipio Ignorado - Mt -            MUNICIPIO IGNORADO - MT -                  Municipio Ignorado - Mt -            8
51001      ATIVO              Aripuana - MT                        ARIPUANA - MT                              Aripuana - MT                        1
51002      ATIVO              Alta Floresta - MT                   ALTA FLORESTA - MT                         Alta Floresta - MT                   1
51003      ATIVO              Colider - MT                         COLIDER - MT                               Colider - MT                         1
51004      ATIVO              Parecis - MT                         PARECIS - MT                               Parecis - MT                         1
51005      ATIVO              Arinos - MT                          ARINOS - MT                                Arinos - MT                          1
51006      ATIVO              Alto Teles Pires - MT                ALTO TELES PIRES - MT                      Alto Teles Pires - MT                1
51007      ATIVO              Sinop - MT                           SINOP - MT                                 Sinop - MT                           1
51008      ATIVO              Paranatinga - MT                     PARANATINGA - MT                           Paranatinga - MT                     1
51009      ATIVO              Norte Araguaia - MT                  NORTE ARAGUAIA - MT                        Norte Araguaia - MT                  1
51010      ATIVO              Canarana - MT                        CANARANA - MT                              Canarana - MT                        1
51011      ATIVO              Medio Araguaia - MT                  MEDIO ARAGUAIA - MT                        Medio Araguaia - MT                  1
51012      ATIVO              Alto Guapore - MT                    ALTO GUAPORE - MT                          Alto Guapore - MT                    1
51013      ATIVO              Tangara Da Serra - MT                TANGARA DA SERRA - MT                      Tangara Da Serra - MT                1
51014      ATIVO              Jauru - MT                           JAURU - MT                                 Jauru - MT                           1
51015      ATIVO              Alto Paraguai - MT                   ALTO PARAGUAI - MT                         Alto Paraguai - MT                   1
51016      ATIVO              Rosario Oeste - MT                   ROSARIO OESTE - MT                         Rosario Oeste - MT                   1
51017      ATIVO              Cuiaba - MT                          CUIABA - MT                                Cuiaba - MT                          1
51018      ATIVO              Alto Pantanal - MT                   ALTO PANTANAL - MT                         Alto Pantanal - MT                   1
51019      ATIVO              Primavera Do Leste - MT              PRIMAVERA DO LESTE - MT                    Primavera Do Leste - MT              1
51020      ATIVO              Tesouro - MT                         TESOURO - MT                               Tesouro - MT                         1
51021      ATIVO              Rondonopolis - MT                    RONDONOPOLIS - MT                          Rondonopolis - MT                    1
